Account_number,Ledger,Company_name,Date,Metric,Cost
10060,  Vestige Webster Operating 6812,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,DispatchBot LLC,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,TT Faster LLC,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,ArgoTrak Inc,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Passio Tech LLC,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Tripshot,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,busHive,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Bytecurve,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Bytecurve (All),06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Elimination Entity,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,All Locations,06/30/2025,Actual,360713.23
10062,  Vestige Webster Collections6867,TT Intermediate Corp,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Transit Technologies LLC,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Ecolane Finland,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Ecolane USA,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Argo-Migrated to Vestige Group,06/30/2025,Actual,1691578.93
10062,  Vestige Webster Collections6867,The Vestige Group LLC,06/30/2025,Actual,-1691729.89
10062,  Vestige Webster Collections6867,The Vestige Group LLC (All),06/30/2025,Actual,-150.96
10062,  Vestige Webster Collections6867,MJM Innovations LLC,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,DispatchBot LLC,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,TT Faster LLC,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,ArgoTrak Inc,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Passio Tech LLC,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Tripshot,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,busHive,06/30/2025,Actual,0.0
